Vértice 1: Pai = 1, Nível = 0
Vértice 793: Pai = 1, Nível = 1
Vértice 961: Pai = 1, Nível = 1
Vértice 704: Pai = 1, Nível = 1
Vértice 756: Pai = 1, Nível = 1
Vértice 185: Pai = 1, Nível = 1
Vértice 311: Pai = 1, Nível = 1
Vértice 896: Pai = 1, Nível = 1
Vértice 22: Pai = 1, Nível = 1
Vértice 129: Pai = 1, Nível = 1
Vértice 93: Pai = 1, Nível = 1
Vértice 204: Pai = 1, Nível = 1
Vértice 331: Pai = 1, Nível = 1
Vértice 960: Pai = 1, Nível = 1
Vértice 368: Pai = 1, Nível = 1
Vértice 721: Pai = 1, Nível = 1
Vértice 817: Pai = 1, Nível = 1
Vértice 379: Pai = 1, Nível = 1
Vértice 531: Pai = 1, Nível = 1
Vértice 114: Pai = 1, Nível = 1
Vértice 741: Pai = 1, Nível = 1
Vértice 921: Pai = 1, Nível = 1
Vértice 403: Pai = 1, Nível = 1
Vértice 705: Pai = 1, Nível = 1
Vértice 455: Pai = 1, Nível = 1
Vértice 731: Pai = 1, Nível = 1
Vértice 806: Pai = 1, Nível = 1
Vértice 680: Pai = 1, Nível = 1
Vértice 248: Pai = 1, Nível = 1
Vértice 943: Pai = 1, Nível = 1
Vértice 925: Pai = 1, Nível = 1
Vértice 766: Pai = 1, Nível = 1
Vértice 671: Pai = 1, Nível = 1
Vértice 652: Pai = 1, Nível = 1
Vértice 384: Pai = 1, Nível = 1
Vértice 650: Pai = 1, Nível = 1
Vértice 223: Pai = 1, Nível = 1
Vértice 47: Pai = 1, Nível = 1
Vértice 160: Pai = 1, Nível = 1
Vértice 670: Pai = 1, Nível = 1
Vértice 916: Pai = 1, Nível = 1
Vértice 778: Pai = 1, Nível = 1
Vértice 389: Pai = 1, Nível = 1
Vértice 50: Pai = 1, Nível = 1
Vértice 769: Pai = 1, Nível = 1
Vértice 370: Pai = 1, Nível = 1
Vértice 866: Pai = 1, Nível = 1
Vértice 936: Pai = 1, Nível = 1
Vértice 613: Pai = 1, Nível = 1
Vértice 851: Pai = 1, Nível = 1
Vértice 478: Pai = 793, Nível = 2
Vértice 108: Pai = 793, Nível = 2
Vértice 99: Pai = 793, Nível = 2
Vértice 305: Pai = 793, Nível = 2
Vértice 371: Pai = 793, Nível = 2
Vértice 425: Pai = 793, Nível = 2
Vértice 683: Pai = 793, Nível = 2
Vértice 596: Pai = 793, Nível = 2
Vértice 395: Pai = 793, Nível = 2
Vértice 363: Pai = 793, Nível = 2
Vértice 322: Pai = 793, Nível = 2
Vértice 263: Pai = 793, Nível = 2
Vértice 648: Pai = 961, Nível = 2
Vértice 367: Pai = 961, Nível = 2
Vértice 727: Pai = 961, Nível = 2
Vértice 469: Pai = 961, Nível = 2
Vértice 149: Pai = 961, Nível = 2
Vértice 920: Pai = 961, Nível = 2
Vértice 676: Pai = 961, Nível = 2
Vértice 564: Pai = 961, Nível = 2
Vértice 722: Pai = 704, Nível = 2
Vértice 222: Pai = 704, Nível = 2
Vértice 924: Pai = 704, Nível = 2
Vértice 56: Pai = 704, Nível = 2
Vértice 75: Pai = 704, Nível = 2
Vértice 178: Pai = 704, Nível = 2
Vértice 978: Pai = 704, Nível = 2
Vértice 104: Pai = 704, Nível = 2
Vértice 581: Pai = 704, Nível = 2
Vértice 573: Pai = 704, Nível = 2
Vértice 520: Pai = 704, Nível = 2
Vértice 497: Pai = 704, Nível = 2
Vértice 137: Pai = 704, Nível = 2
Vértice 342: Pai = 756, Nível = 2
Vértice 419: Pai = 756, Nível = 2
Vértice 863: Pai = 185, Nível = 2
Vértice 614: Pai = 185, Nível = 2
Vértice 574: Pai = 185, Nível = 2
Vértice 487: Pai = 185, Nível = 2
Vértice 397: Pai = 185, Nível = 2
Vértice 195: Pai = 185, Nível = 2
Vértice 776: Pai = 185, Nível = 2
Vértice 745: Pai = 185, Nível = 2
Vértice 604: Pai = 185, Nível = 2
Vértice 512: Pai = 185, Nível = 2
Vértice 951: Pai = 185, Nível = 2
Vértice 526: Pai = 185, Nível = 2
Vértice 155: Pai = 185, Nível = 2
Vértice 637: Pai = 185, Nível = 2
Vértice 58: Pai = 185, Nível = 2
Vértice 143: Pai = 185, Nível = 2
Vértice 54: Pai = 185, Nível = 2
Vértice 980: Pai = 311, Nível = 2
Vértice 439: Pai = 311, Nível = 2
Vértice 708: Pai = 311, Nível = 2
Vértice 73: Pai = 311, Nível = 2
Vértice 74: Pai = 311, Nível = 2
Vértice 542: Pai = 311, Nível = 2
Vértice 203: Pai = 311, Nível = 2
Vértice 930: Pai = 311, Nível = 2
Vértice 175: Pai = 311, Nível = 2
Vértice 172: Pai = 311, Nível = 2
Vértice 973: Pai = 896, Nível = 2
Vértice 913: Pai = 896, Nível = 2
Vértice 728: Pai = 896, Nível = 2
Vértice 579: Pai = 896, Nível = 2
Vértice 164: Pai = 896, Nível = 2
Vértice 494: Pai = 896, Nível = 2
Vértice 464: Pai = 896, Nível = 2
Vértice 865: Pai = 896, Nível = 2
Vértice 482: Pai = 896, Nível = 2
Vértice 377: Pai = 896, Nível = 2
Vértice 897: Pai = 22, Nível = 2
Vértice 658: Pai = 22, Nível = 2
Vértice 606: Pai = 22, Nível = 2
Vértice 386: Pai = 22, Nível = 2
Vértice 317: Pai = 22, Nível = 2
Vértice 308: Pai = 22, Nível = 2
Vértice 103: Pai = 22, Nível = 2
Vértice 85: Pai = 22, Nível = 2
Vértice 179: Pai = 22, Nível = 2
Vértice 672: Pai = 22, Nível = 2
Vértice 199: Pai = 22, Nível = 2
Vértice 375: Pai = 22, Nível = 2
Vértice 315: Pai = 22, Nível = 2
Vértice 885: Pai = 22, Nível = 2
Vértice 738: Pai = 22, Nível = 2
Vértice 428: Pai = 22, Nível = 2
Vértice 941: Pai = 129, Nível = 2
Vértice 332: Pai = 129, Nível = 2
Vértice 225: Pai = 129, Nível = 2
Vértice 453: Pai = 129, Nível = 2
Vértice 840: Pai = 129, Nível = 2
Vértice 420: Pai = 129, Nível = 2
Vértice 450: Pai = 129, Nível = 2
Vértice 902: Pai = 129, Nível = 2
Vértice 57: Pai = 129, Nível = 2
Vértice 940: Pai = 93, Nível = 2
Vértice 774: Pai = 93, Nível = 2
Vértice 691: Pai = 93, Nível = 2
Vértice 660: Pai = 93, Nível = 2
Vértice 312: Pai = 93, Nível = 2
Vértice 186: Pai = 93, Nível = 2
Vértice 786: Pai = 93, Nível = 2
Vértice 926: Pai = 93, Nível = 2
Vértice 132: Pai = 93, Nível = 2
Vértice 470: Pai = 93, Nível = 2
Vértice 814: Pai = 204, Nível = 2
Vértice 405: Pai = 204, Nível = 2
Vértice 466: Pai = 204, Nível = 2
Vértice 441: Pai = 204, Nível = 2
Vértice 529: Pai = 204, Nível = 2
Vértice 733: Pai = 204, Nível = 2
Vértice 109: Pai = 204, Nível = 2
Vértice 832: Pai = 331, Nível = 2
Vértice 159: Pai = 331, Nível = 2
Vértice 626: Pai = 331, Nível = 2
Vértice 964: Pai = 331, Nível = 2
Vértice 560: Pai = 331, Nível = 2
Vértice 167: Pai = 331, Nível = 2
Vértice 259: Pai = 331, Nível = 2
Vértice 969: Pai = 960, Nível = 2
Vértice 962: Pai = 960, Nível = 2
Vértice 158: Pai = 960, Nível = 2
Vértice 278: Pai = 960, Nível = 2
Vértice 78: Pai = 960, Nível = 2
Vértice 407: Pai = 960, Nível = 2
Vértice 850: Pai = 960, Nível = 2
Vértice 847: Pai = 960, Nível = 2
Vértice 811: Pai = 960, Nível = 2
Vértice 799: Pai = 960, Nível = 2
Vértice 768: Pai = 960, Nível = 2
Vértice 758: Pai = 960, Nível = 2
Vértice 748: Pai = 960, Nível = 2
Vértice 743: Pai = 960, Nível = 2
Vértice 627: Pai = 960, Nível = 2
Vértice 591: Pai = 960, Nível = 2
Vértice 551: Pai = 960, Nível = 2
Vértice 327: Pai = 960, Nível = 2
Vértice 62: Pai = 960, Nível = 2
Vértice 7: Pai = 960, Nível = 2
Vértice 592: Pai = 368, Nível = 2
Vértice 543: Pai = 368, Nível = 2
Vértice 435: Pai = 368, Nível = 2
Vértice 30: Pai = 368, Nível = 2
Vértice 608: Pai = 368, Nível = 2
Vértice 165: Pai = 368, Nível = 2
Vértice 554: Pai = 368, Nível = 2
Vértice 111: Pai = 368, Nível = 2
Vértice 856: Pai = 721, Nível = 2
Vértice 734: Pai = 721, Nível = 2
Vértice 618: Pai = 721, Nível = 2
Vértice 457: Pai = 721, Nível = 2
Vértice 324: Pai = 721, Nível = 2
Vértice 593: Pai = 721, Nível = 2
Vértice 503: Pai = 721, Nível = 2
Vértice 492: Pai = 721, Nível = 2
Vértice 70: Pai = 721, Nível = 2
Vértice 621: Pai = 817, Nível = 2
Vértice 265: Pai = 817, Nível = 2
Vértice 105: Pai = 817, Nível = 2
Vértice 240: Pai = 817, Nível = 2
Vértice 723: Pai = 817, Nível = 2
Vértice 557: Pai = 817, Nível = 2
Vértice 249: Pai = 817, Nível = 2
Vértice 198: Pai = 817, Nível = 2
Vértice 197: Pai = 817, Nível = 2
Vértice 34: Pai = 817, Nível = 2
Vértice 12: Pai = 817, Nível = 2
Vértice 10: Pai = 817, Nível = 2
Vértice 730: Pai = 379, Nível = 2
Vértice 569: Pai = 379, Nível = 2
Vértice 316: Pai = 379, Nível = 2
Vértice 501: Pai = 379, Nível = 2
Vértice 558: Pai = 379, Nível = 2
Vértice 640: Pai = 379, Nível = 2
Vértice 725: Pai = 379, Nível = 2
Vértice 212: Pai = 379, Nível = 2
Vértice 48: Pai = 379, Nível = 2
Vértice 837: Pai = 531, Nível = 2
Vértice 586: Pai = 531, Nível = 2
Vértice 947: Pai = 531, Nível = 2
