Vértice 764: Pai = 764, Nível = 0
Vértice 27166: Pai = 764, Nível = 1
Vértice 39688: Pai = 764, Nível = 1
Vértice 12829: Pai = 27166, Nível = 2
Vértice 20455: Pai = 39688, Nível = 2
Vértice 45774: Pai = 39688, Nível = 2
Vértice 47782: Pai = 12829, Nível = 3
Vértice 8413: Pai = 20455, Nível = 3
Vértice 44128: Pai = 20455, Nível = 3
Vértice 16756: Pai = 45774, Nível = 3
Vértice 43448: Pai = 47782, Nível = 4
Vértice 24534: Pai = 8413, Nível = 4
Vértice 27550: Pai = 8413, Nível = 4
Vértice 37465: Pai = 44128, Nível = 4
Vértice 37301: Pai = 16756, Nível = 4
Vértice 27420: Pai = 43448, Nível = 5
Vértice 43256: Pai = 43448, Nível = 5
Vértice 11425: Pai = 24534, Nível = 5
Vértice 19733: Pai = 24534, Nível = 5
Vértice 2380: Pai = 27550, Nível = 5
Vértice 9944: Pai = 27550, Nível = 5
Vértice 39513: Pai = 37301, Nível = 5
Vértice 7981: Pai = 11425, Nível = 6
Vértice 16646: Pai = 11425, Nível = 6
Vértice 37053: Pai = 19733, Nível = 6
Vértice 45055: Pai = 2380, Nível = 6
Vértice 1877: Pai = 39513, Nível = 6
Vértice 17340: Pai = 39513, Nível = 6
Vértice 26291: Pai = 7981, Nível = 7
Vértice 29299: Pai = 37053, Nível = 7
Vértice 27196: Pai = 45055, Nível = 7
Vértice 10047: Pai = 1877, Nível = 7
Vértice 38767: Pai = 1877, Nível = 7
Vértice 19831: Pai = 17340, Nível = 7
Vértice 31143: Pai = 17340, Nível = 7
Vértice 33362: Pai = 26291, Nível = 8
Vértice 5792: Pai = 29299, Nível = 8
Vértice 44722: Pai = 10047, Nível = 8
Vértice 33066: Pai = 38767, Nível = 8
Vértice 42053: Pai = 38767, Nível = 8
Vértice 46507: Pai = 19831, Nível = 8
Vértice 3411: Pai = 33362, Nível = 9
Vértice 21837: Pai = 5792, Nível = 9
Vértice 4201: Pai = 44722, Nível = 9
Vértice 35620: Pai = 46507, Nível = 9
Vértice 18880: Pai = 21837, Nível = 10
Vértice 42088: Pai = 35620, Nível = 10
Vértice 41183: Pai = 18880, Nível = 11
